symbol,last,pct_chg,rel_vol,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,trades_1m,trades_5m,trades_10m,trades_15m,shortable_shares,rsi_14,macd,macd_sig,macd_hist,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,_lastBarAgeSec,_prevClose
OKYO,2.74,18.103448275862085,0.0,0.0,0.0,0.0,423.0,423.0,0.0,0.0,2.0,2.0,4490814.0,58.84255760450473,0.011934646991185627,0.01025609183615081,0.0016785551550348166,,2.7364539007092197,,0.0012958739373835153,5.0,2.32
NAIL,66.16,17.806267806267808,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,510917.0,49.01690478217642,0.031189033205990313,0.11104542558713866,-0.07985639238114835,,66.14802593659942,,0.00018101921003733354,5.0,56.16
KLRS,9.78,18.40193704600484,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267820.0,48.387420149052616,-0.00848498005077758,-0.010237843572762908,0.0017528635219853286,,,,,0.0,8.26
MGN,1.89,15.24390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28918.0,100.0,-0.0031713120939096395,0.010666441600455202,-0.013837753694364841,,1.7744003595274782,,0.06514856686757312,0.0,1.64
KTUP,49.65,17.43140964995269,6.0,0.0,0.0,141.0,141.0,141.0,0.0,1.0,1.0,1.0,,100.0,0.01673344755687367,0.056107541070508415,-0.039374093513634745,49.65,49.65,0.0,0.0,0.0,42.28
PEW,3.73,18.41269841269842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169907.0,53.6591171311117,0.004799302960015073,0.004182413705627123,0.0006168892543879497,,3.7285185185185186,,0.000397337836495463,0.0,3.15
APLD,37.5201,17.470569818409512,0.6669486660422395,0.0,1615.0,3679.0,7087.0,10960.0,0.0,12.0,24.0,42.0,108449.0,51.07151946433036,0.003534730747404069,0.016301314090098433,-0.012766583342694364,37.533907873516355,37.51261122558943,-0.0003678773220973021,0.00019963351432756427,0.0,31.94
LRCU,108.07,18.031891655744854,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,100.0,0.15737004459987247,0.20289294852777234,-0.04552290392789987,,,,,0.0,91.56
AEVA,19.87,17.64357608052102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506784.0,42.429702512111646,-0.04600256164279415,-0.05378925028032923,0.00778668863753508,,19.858333333333334,,0.0005874947545111228,0.0,16.89
ROLR,2.735,21.55555555555555,0.24258286049287076,0.0,1111.0,1931.0,5748.0,11232.0,0.0,8.0,17.0,34.0,,100.0,0.018737422641891044,0.03829353395603672,-0.019556111314145676,2.730699982737787,2.741513196959863,0.0015746941404751332,-0.0023757671373188117,0.0,2.25
BLNE,2.0497,16.792022792022802,0.22480329711502436,0.0,0.0,100.0,100.0,669.0,0.0,1.0,1.0,3.0,1143280.0,52.82200455758331,0.0023428343995655077,0.001544235623712527,0.0007985987758529806,2.0497,2.0445085550143625,0.0,0.0025392141172043896,0.0,1.755
AIRE,0.5101,12.356828193832595,0.1008662729685796,0.0,817.0,817.0,14083.0,15003.0,0.0,1.0,18.0,20.0,268827.0,44.21817865984612,-0.002431870995334817,-0.0018524488748403994,-0.0005794221204944178,0.5101,0.5136558159632915,0.0,-0.006922565369230788,0.0,0.454
VSME,0.0851,5.845771144278602,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413388.0,,,,,,,,,,0.0804
ASPI,7.57,17.546583850931675,0.488122356003905,0.0,0.0,500.0,602.0,2231.0,0.0,2.0,3.0,7.0,1252117.0,49.78165270631633,0.013250620036163951,0.011295507144087077,0.0019551128920768743,7.573333333333333,7.585311855949669,-0.0004401408450703741,-0.002018619173535875,0.0,6.44
