rank,symbol,exchange,last_price,bid,ask,open,high,low,close,volume,avg_volume,shortable_shares,trade_count,trade_rate,volume_rate,bid_size,ask_size,last_size,timestamp,news_count,news_source,latest_news,change,change_pct
35,LNMG,,0.039,,,0.039,0.039,0.039,0.02,10000.0,,526101.0,1.0,0.0,0.0,,,10000.0,2025-12-29 16:21:18,0,B:0 F:0,No news,0.019,95.0
36,TFGL,,0.598,,,0.3629,0.51,0.3533,0.2623,11400.0,,,7.0,0.0,0.0,,,2000.0,2025-12-29 16:21:18,0,B:0 F:0,No news,0.3357,127.98322531452537
37,CVWFF,,0.5877,,,0.5877,0.5877,0.5877,0.3046,200.0,,23890.0,2.0,0.0,0.0,,,200.0,2025-12-29 16:21:19,0,B:0 F:0,No news,0.2831,92.94156270518714
38,SNTX,,0.015,,,0.008,0.016,0.0078,0.0078,6164944.0,,,,,,,,22000.0,2025-12-29 16:21:19,0,B:0 F:0,No news,0.0072,92.3076923076923
39,RVLCF,,0.0646,,,0.0371,0.0646,0.0237,0.0345,242050.0,,2000.0,27.0,0.0,0.0,,,5000.0,2025-12-29 16:21:20,0,B:0 F:0,No news,0.030100000000000002,87.2463768115942
40,SPOWF,,0.0216,,,0.015,0.0216,0.015,0.0116,9804.0,,110330.0,3.0,0.0,0.0,,,400.0,2025-12-29 16:21:20,0,B:0 F:0,No news,0.010000000000000002,86.20689655172417
41,SCPX,,0.0011,,,0.0011,0.0011,0.0011,0.0006,41784.0,,,,,,,,2400.0,2025-12-29 16:21:21,0,B:0 F:0,No news,0.0005000000000000001,83.33333333333336
42,SRBT,,0.2241,,,0.2241,0.2241,0.2241,0.1223,1500.0,,1500.0,1.0,0.0,0.0,,,1500.0,2025-12-29 16:21:21,0,B:0 F:0,No news,0.10179999999999999,83.23793949304986
43,BGXXQ,,0.0007,,,0.0008,0.0008,0.0006,0.0004,114214.0,,,,,,,,100.0,2025-12-29 16:21:22,0,B:0 F:0,No news,0.0003,74.99999999999999
44,STBXF,,0.1869,,,0.145,0.1869,0.08,0.11,8528.0,,,,,,,,500.0,2025-12-29 16:21:22,0,B:0 F:0,No news,0.07690000000000001,69.90909090909092
45,MRCR,,5.207,,,3.49,5.33,5.1,3.15,71341.0,,7554.0,86.0,0.0,0.0,,,700.0,2025-12-29 16:21:23,0,B:0 F:0,No news,2.057,65.3015873015873
46,KUKEY,,0.0255,,,0.0155,0.0255,0.0155,0.0155,10586.0,,949500.0,5.0,0.0,0.0,,,1700.0,2025-12-29 16:21:23,0,B:0 F:0,No news,0.009999999999999998,64.51612903225805
47,LABZF,,0.0703,,,0.0703,0.0703,0.0703,0.043,100.0,,,,,,,,100.0,2025-12-29 16:21:24,0,B:0 F:0,No news,0.027300000000000005,63.48837209302327
48,LKCOF,,0.0049,,,0.0049,0.0049,0.0026,0.003,7139.0,,83600.0,4.0,0.0,0.0,,,400.0,2025-12-29 16:21:24,0,B:0 F:0,No news,0.0018999999999999998,63.33333333333332
49,SRKE,,0.2749,,,0.2749,0.2749,0.2749,0.17,2501.0,,10369.0,1.0,0.0,0.0,,,2500.0,2025-12-29 16:21:25,0,B:0 F:0,No news,0.10489999999999997,61.70588235294115
50,SOPA,,2.5801,2.58,2.59,2.27,3.4599,2.2101,1.82,1531586.0,,,,,,1300.0,2600.0,500.0,2025-12-29 16:21:25,0,B:0 F:0,No news,0.7600999999999998,41.76373626373625
