symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
ACI,"Albertsons Companies, Inc.",NYQ,9746926592.0,549307530.0,389288753.0,Consumer Defensive,Grocery Stores,United States,USD
ACII,Innovator Index Autocallable In,PCX,,,,,,,USD
ACKY,VistaShares Target 15 ACKtivist Select Income ETF,PCX,,,,,,,USD
ACLC,American Century ETF Trust - American Century Large Cap Equity ETF,PCX,,,,,,,USD
ACLO,TCW AAA CLO ETF,NYQ,,,,,,,USD
ACM,AECOM,NYQ,12900250624.0,131833332.0,131120114.0,Industrials,Engineering & Construction,United States,USD
ACN,Accenture plc,NYQ,168113438720.0,615435159.0,614236120.0,Technology,Information Technology Services,Ireland,USD
ACP,Abrdn Income Credit Strategies Fund,NYQ,688833984.0,125470678.0,,Financial Services,Asset Management,United Kingdom,USD
ACV,Virtus Diversified Income & Convertible Fund,NYQ,278403840.0,10376587.0,,Financial Services,Asset Management,United States,USD
ACVA,ACV Auctions Inc.,NYQ,1498949248.0,172171225.0,167465785.0,Consumer Cyclical,Auto & Truck Dealerships,United States,USD
ACVF,American Conservative Values ETF,PCX,,,,,,,USD
ACVT,Advent Convertible Bond ETF,PCX,,,,,,,USD
AD,"Array Digital Infrastructure, Inc.",NYQ,4624778752.0,53374000.0,15465475.0,Communication Services,Telecom Services,United States,USD
ADC,Agree Realty Corporation,NYQ,8346417664.0,114934390.0,112603924.0,Real Estate,REIT - Retail,United States,USD
ADCT,ADC Therapeutics SA,NYQ,434808672.0,123877111.0,107806533.0,Healthcare,Biotechnology,Switzerland,USD
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,PCX,,,,,,,USD
ADM,Archer-Daniels-Midland Company,NYQ,27829792768.0,480569735.0,474788481.0,Consumer Defensive,Farm Products,United States,USD
ADNT,Adient plc,NYQ,1585920512.0,79151497.0,78073454.0,Consumer Cyclical,Auto Parts,Ireland,USD
ADPV,Adaptiv Select ETF,PCX,,,,,,,USD
ADT,ADT Inc.,NYQ,6675456512.0,765018211.0,506856707.0,Industrials,Security & Protection Services,United States,USD
ADVE,Matthews Asia Dividend Active ETF,PCX,,,,,,,USD
ADX,"Adams Diversified Equity Fund, Inc.",NYQ,2808525312.0,120125125.0,118379743.0,Financial Services,Asset Management,United States,USD
AEE,Ameren Corporation,NYQ,26998095872.0,270494916.0,269212770.0,Utilities,Utilities - Regulated Electric,United States,USD
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",ASE,287864096.0,40601423.0,,Financial Services,Asset Management,United Kingdom,USD
AEFC,Aegon Funding Company LLC 5.10%,NYQ,,,,,,,USD
AEG,Aegon Ltd.,NYQ,11727381504.0,1504328323.0,1194063610.0,Financial Services,Insurance - Diversified,Netherlands,USD
AEM,Agnico Eagle Mines Limited,NYQ,91979956224.0,502046562.0,501333656.0,Basic Materials,Gold,Canada,USD
AEO,"American Eagle Outfitters, Inc.",NYQ,4468336640.0,169512006.0,153957584.0,Consumer Cyclical,Apparel Retail,United States,USD
AEON,"AEON Biopharma, Inc.",ASE,14076000.0,13800000.0,8390973.0,Healthcare,Biotechnology,United States,USD
AES,The AES Corporation,NYQ,10019542016.0,712120944.0,708061855.0,Utilities,Utilities - Diversified,United States,USD
AESI,Atlas Energy Solutions Inc.,NYQ,1565984128.0,123982170.0,94127263.0,Energy,Oil & Gas Equipment & Services,United States,USD
AETH,Bitwise Trendwise Ethereum & Treasuries Rotation Strategy ETF,PCX,,,,,,,USD
AEXA,American Exceptionalism Acquisition Corp. A,NYQ,563852096.0,34675000.0,,,,,USD
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",NYQ,308433152.0,28744936.0,,Financial Services,Asset Management,United States,USD
AFG,"American Financial Group, Inc.",NYQ,11523037184.0,83403572.0,66532697.0,Financial Services,Insurance - Property & Casualty,United States,USD
AFGB,"American Financial Group, Inc. ",NYQ,,,,,,,USD
AFGC,"American Financial Group, Inc.",NYQ,18913238.0,998060.0,,,,,USD
AFGD,"American Financial Group, Inc.",NYQ,,,,,,,USD
AFGE,"American Financial Group, Inc.",NYQ,,,,,,,USD
AFIX,Allspring Broad Market Core Bond ETF,PCX,,,,,,,USD
AFK,VanEck Africa Index ETF,PCX,,,,,,,USD
AFL,Aflac Incorporated,NYQ,58777980928.0,524113917.0,519936729.0,Financial Services,Insurance - Life,United States,USD
AFLG,First Trust Active Factor Large Cap ETF,PCX,,,,,,,USD
AFMC,First Trust Active Factor Mid Cap ETF,PCX,,,,,,,USD
AFSM,First Trust Active Factor Small Cap ETF,PCX,,,,,,,USD
AG,First Majestic Silver Corp.,NYQ,8542002688.0,490028835.0,485810584.0,Basic Materials,Silver,Canada,USD
AGCO,AGCO Corporation,NYQ,7869054976.0,74623566.0,61918904.0,Industrials,Farm & Heavy Construction Machinery,United States,USD
AGD,Abrdn Global Dynamic Dividend Fund,NYQ,301267200.0,24877555.0,,Financial Services,Asset Management,United Kingdom,USD
AGG,iShares Core U.S. Aggregate Bond ETF,PCX,57282904064.0,572600000.0,,,,,USD
AGGH,Simplify Aggregate Bond ETF,PCX,,,,,,,USD
AGGS,Harbor Disciplined Bond ETF,PCX,,,,,,,USD
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,PCX,,,,,,,USD
AGI,Alamos Gold Inc.,NYQ,17116641280.0,419834202.0,419370222.0,Basic Materials,Gold,Canada,USD
AGIG,Abundia Global Impact Group Inc,ASE,71621464.0,36918281.0,5615671.0,Utilities,Utilities - Renewable,United States,USD
AGIQ,Sofi Agentic AI ETF,PCX,,,,,,,USD
AGL,"agilon health, inc.",NYQ,300903328.0,414581604.0,268599130.0,Healthcare,Medical Care Facilities,United States,USD
AGM,Federal Agricultural Mortgage Corporation,NYQ,1936569728.0,9373642.0,10276829.0,Financial Services,Credit Services,United States,USD
AGO,Assured Guaranty Ltd.,NYQ,4314325504.0,46109095.0,43368415.0,Financial Services,Insurance - Specialty,Bermuda,USD
AGOX,Adaptive Alpha Opportunities ETF,PCX,,,,,,,USD
AGQ,ProShares Ultra Silver,PCX,,,,,,,USD
AGQI,First Trust Active Global Quality Income ETF,PCX,,,,,,,USD
AGX,"Argan, Inc.",NYQ,4510800896.0,13873410.0,13315421.0,Industrials,Engineering & Construction,United States,USD
AGZ,iShares Agency Bond ETF,PCX,,,,,,,USD
AHH,"Armada Hoffler Properties, Inc.",NYQ,685221888.0,80153392.0,78980748.0,Real Estate,REIT - Diversified,United States,USD
AHL,Aspen Insurance Holdings Limite,NYQ,3401693184.0,91838366.0,15475683.0,Financial Services,Insurance - Property & Casualty,Bermuda,USD
AHLT,American Beacon AHL Trend ETF,PCX,,,,,,,USD
AHT,"Ashford Hospitality Trust, Inc.",NYQ,24786970.0,6411532.0,5817888.0,Real Estate,REIT - Hotel & Motel,United States,USD
AHYB,American Century Select High Yield ETF,PCX,,,,,,,USD
