symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
BLIV,BeLive Holdings,Singapore,NCM,USD,,10864802.0,5270190.0,40743008.0
ATLCP,Atlanticus Holdings Corporation,United States,NMS,USD,,,5287725.0,
ATLC,Atlanticus Holdings Corporation,United States,NMS,USD,,15141530.0,5287725.0,1062026880.0
NUTR,NusaTrip Incorporated,ID,NASDAQ NMS - GLOBAL MARKET,USD,2025-08-15,19379168.0,5304206.0,174412512.0
RDACR,Rising Dragon Acquisition Corp.,,,,,,5307533.0,
RDAC,Rising Dragon Acquisition Corp.,China,NCM,USD,,7499375.0,5307533.0,82268144.0
RDACU,Rising Dragon Acquisition Corp.,China,NCM,USD,,,5307533.0,
POCI,"Precision Optics Corporation, Inc.",United States,NCM,USD,,7714701.0,5309412.0,32440322.0
ALOT,"AstroNova, Inc.",,,,,7638423.0,5313134.0,62635076.0
HURC,"Hurco Companies, Inc.",United States,NMS,USD,,6402396.0,5319745.0,98084704.0
LSBK,"Lake Shore Bancorp, Inc.",United States,NGM,USD,,7311205.0,5342663.0,114216088.0
MBIO,"Mustang Bio, Inc.",United States,NCM,USD,,6453701.0,5347002.0,7445068.0
SST,"System1, Inc.",United States,NYQ,USD,,8128321.0,5348029.0,46090448.0
SSTPW,,,,,,,5348029.0,
MLAB,"Mesa Laboratories, Inc.",United States,NMS,USD,,5522299.0,5349009.0,444379392.0
SGBX,Safe & Green Holdings Corp.,United States,NCM,USD,,6035011.0,5393839.0,13578775.0
GLMD,Galmed Pharmaceuticals Ltd.,IL,NASDAQ NMS - GLOBAL MARKET,USD,2014-03-13,5479231.0,5403563.0,4740083.0
ELA,Envela Corporation,US,NYSE MKT LLC,USD,1992-03-18,25963476.0,5406115.0,324565984.0
FSFG,"First Savings Financial Group, Inc.",United States,NCM,USD,,7015080.0,5410487.0,228411008.0
SILC,Silicom Ltd.,Israel,NMS,USD,,5674097.0,5411057.0,80264600.0
CRVO,CervoMed Inc.,United States,NCM,USD,,9252719.0,5423111.0,74761968.0
ARQQW,Arqit Quantum Inc.,United Kingdom,NCM,USD,,,5424308.0,
ARQQ,Arqit Quantum Inc.,United Kingdom,NCM,USD,,15651859.0,5424308.0,357018880.0
VBIX,Viewbix Inc.,Israel,NCM,USD,,10670392.0,5427922.0,12270951.0
CWD,CaliberCos Inc.,United States,NCM,USD,,5617985.0,5436579.0,10281678.0
NERV,"Minerva Neurosciences, Inc.",United States,NCM,USD,,43274398.0,5437023.0,181319744.0
