symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
CLBK,"Columbia Financial, Inc.",United States,NMS,USD,,104313352.0,27052045.0,1691425536.0
MGX,"Metagenomi, Inc.",United States,NMS,USD,,37546751.0,27055062.0,63829480.0
WTS,"Watts Water Technologies, Inc.",United States,NYQ,USD,,27406631.0,27069898.0,9480901632.0
SGMT,Sagimet Biosciences Inc.,United States,NGM,USD,,31001109.0,27078459.0,193828736.0
EWCZ,"European Wax Center, Inc.",United States,NMS,USD,,43692903.0,27093969.0,206103296.0
PED,PEDEVCO Corp.,United States,ASE,USD,,95519352.0,27094064.0,52917724.0
WGO,"Winnebago Industries, Inc.",United States,NYQ,USD,,28220626.0,27108733.0,1181033216.0
LINC,Lincoln Educational Services Corporation,United States,NMS,USD,,31623795.0,27127840.0,785218880.0
HROW,"Harrow, Inc.",United States,NGM,USD,,37037453.0,27131045.0,1855206016.0
KFIIR,K&F Growth Acquisition Corp. II,United States,NGM,USD,,,27176185.0,
KFIIU,K&F Growth Acquisition Corp. II,United States,NGM,USD,,25829000.0,27176185.0,277661760.0
KFII,K&F Growth Acquisition Corp. II,United States,NGM,USD,,29672727.0,27176185.0,405122528.0
KOD,Kodiak Sciences Inc.,United States,NGM,USD,,61048428.0,27193797.0,1824737536.0
LFT,"Lument Finance Trust, Inc.",United States,NYQ,USD,,52364930.0,27228716.0,76452800.0
BAND,Bandwidth Inc.,United States,NMS,USD,,28563553.0,27235628.0,463928000.0
AEVA,"Aeva Technologies, Inc.",United States,NMS,USD,,60079908.0,27245037.0,794256384.0
AEVAW,"Aeva Technologies, Inc.",United States,NMS,USD,,,27245037.0,
AAMI,Acadian Asset Management Inc.,United States,NYQ,USD,,35709120.0,27250344.0,1732580352.0
BEAT,"HeartBeam, Inc.",United States,NCM,USD,,34443563.0,27250714.0,84042296.0
IINNW,Inspira Technologies Oxy B.H.N. Ltd.,Israel,NCM,USD,,,27252254.0,
IINN,Inspira Technologies Oxy B.H.N. Ltd.,Israel,NCM,USD,,35949247.0,27252254.0,34874364.0
CNS,"Cohen & Steers, Inc.",United States,NYQ,USD,,51007541.0,27359425.0,3274683904.0
VBNK,VersaBank,Canada,NMS,USD,,31945535.0,27380838.0,479183040.0
GLP,Global Partners LP,United States,NYQ,USD,,33825839.0,27487215.0,1443505280.0
STC,Stewart Information Services Corporation,United States,NYQ,USD,,30209203.0,27497628.0,2147270272.0
GOLF,Acushnet Holdings Corp.,United States,NYQ,USD,,58661329.0,27508057.0,4870649856.0
